,Subject,Start Date,Start Time,End Date,End Time,Description
0,[感官系统疾病] 感觉器官概述、视觉功能、耳的功能,2019-02-25,8:30,2019-02-25,11:35,理论
1,[感官系统疾病] 皮肤的结构与功能,2019-02-25,11:40,2019-02-25,12:20,理论
2,[感官系统疾病] 皮肤疾病的常见症状、常见诊疗技术,2019-03-04,8:30,2019-03-04,10:45,理论
3,[感官系统疾病] 病毒性、细菌性皮肤病,2019-03-04,10:55,2019-03-04,12:20,理论
4,[感官系统疾病] 皮肤常见症状体征及诊疗技术,2019-03-04,14:00,2019-03-04,16:15,实验
5,[感官系统疾病] 湿疹、特应性皮炎,2019-03-11,10:05,2019-03-11,11:35,理论
6,[感官系统疾病] 病毒性皮肤病,2019-03-11,8:30,2019-03-11,9:10,理论
7,[感官系统疾病] Urticaria,2019-03-11,11:40,2019-03-11,12:20,理论
8,[感官系统疾病] Contact dermatitis,2019-03-11,9:15,2019-03-11,9:55,理论
9,[感官系统疾病] 银屑病,2019-03-18,10:05,2019-03-18,10:45,理论
10,[感官系统疾病] 药疹,2019-03-18,8:30,2019-03-18,9:55,理论
11,[感官系统疾病] 大疱性皮肤病,2019-03-18,10:55,2019-03-18,12:20,理论
12,[感官系统疾病] 常见皮肤病,2019-03-18,14:00,2019-03-18,16:15,实验
13,[感官系统疾病] 皮肌炎,2019-03-25,8:30,2019-03-25,9:10,理论
14,[感官系统疾病] 梅毒,2019-03-25,9:15,2019-03-25,10:45,理论
15,[感官系统疾病] 尖锐湿疣、淋病、生殖道衣原体感染,2019-03-25,10:55,2019-03-25,11:35,理论
16,[感官系统疾病] 烧伤,2019-04-01,9:15,2019-04-01,10:45,理论
17,[感官系统疾病] Burns,2019-04-01,8:30,2019-04-01,9:10,理论
18,[感官系统疾病] 常见皮肤病的病理,2019-04-03,14:00,2019-04-03,15:25,实验
19,[感官系统疾病] Conjunctivitis,2019-04-08,11:40,2019-04-08,12:20,理论
20,[感官系统疾病] 眼睑病、结膜病、眼表疾病,2019-04-08,8:30,2019-04-08,11:35,理论
21,[感官系统疾病] 泪器病、青光眼、晶状体病、玻璃体疾病,2019-04-15,8:30,2019-04-15,11:35,理论
22,[感官系统疾病] 烧伤,2019-04-15,14:00,2019-04-15,15:25,实验
23,[感官系统疾病] 角膜病、眼外伤,2019-04-22,8:30,2019-04-22,11:35,理论
24,[感官系统疾病] 眼睑病、结膜病、眼表疾病,2019-04-22,14:00,2019-04-22,16:15,实验
25,[感官系统疾病] 葡萄膜疾病、视网膜疾病,2019-04-29,8:30,2019-04-29,10:45,理论
26,[感官系统疾病] 泪器病、青光眼、晶状体病、玻璃体疾病,2019-04-29,14:00,2019-04-29,16:15,实验
27,[感官系统疾病] 常见全身疾病的眼部表现、神经眼科学,2019-05-06,8:30,2019-05-06,11:35,理论
28,[感官系统疾病] 角膜病、眼外伤、葡萄膜疾病、视网膜疾病,2019-05-06,14:00,2019-05-06,16:15,实验
29,[感官系统疾病] 眼视光学、眼外肌病与弱视,2019-05-13,8:30,2019-05-13,11:35,理论
30,[感官系统疾病] 眼视光学、眼外肌病与弱视,2019-05-13,14:00,2019-05-13,16:15,实验
31,[感官系统疾病] 急、慢性鼻炎,2019-05-20,10:05,2019-05-20,10:45,理论
32,[感官系统疾病] Allergic Rhinitis,2019-05-20,10:55,2019-05-20,11:35,理论
33,[感官系统疾病] 绪论、先天性耳鼻喉科疾病,2019-05-20,8:30,2019-05-20,9:55,理论
34,[感官系统疾病] 耳鼻咽喉常见症状体征及诊疗技术,2019-05-20,14:00,2019-05-20,16:15,实验
35,[感官系统疾病] 鼻-鼻窦炎,2019-05-27,8:30,2019-05-27,9:55,理论
36,[感官系统疾病] 鼻出血、鼻中隔偏曲、鼻-鼻窦肿瘤,2019-05-27,10:05,2019-05-27,11:35,理论
37,[感官系统疾病] 耳部疾病、鼻部疾病,2019-05-27,14:00,2019-05-27,16:15,实验
38,[感官系统疾病] 急慢性扁桃体炎、咽部脓肿,2019-06-03,8:30,2019-06-03,9:55,理论
39,[感官系统疾病] 咽部肿瘤、阻塞性睡眠呼吸暂停低通气综合征,2019-06-03,10:05,2019-06-03,11:35,理论
40,[感官系统疾病] 先天性喉蹼、喉软化、急性会厌炎、急性喉炎,2019-06-10,8:30,2019-06-10,9:55,理论
41,[感官系统疾病] 喉阻塞、喉肿瘤,2019-06-10,10:05,2019-06-10,11:35,理论
42,[感官系统疾病] 鼻咽癌病理,2019-06-12,14:00,2019-06-12,15:25,实验
43,[感官系统疾病] 气管、支气管异物，食道异物,2019-06-17,8:30,2019-06-17,9:55,理论
44,[感官系统疾病] 分泌性中耳炎,2019-06-17,10:05,2019-06-17,10:45,理论
45,[感官系统疾病] 急慢性化脓性中耳炎、中耳胆脂瘤,2019-06-17,10:55,2019-06-17,11:35,理论
46,[感官系统疾病] 儿童耳鼻咽喉科疾病、咽部疾病,2019-06-17,14:00,2019-06-17,16:15,实验
47,[感官系统疾病] 梅尼埃病、眩晕、周围性面瘫,2019-06-24,8:30,2019-06-24,9:55,理论
48,[感官系统疾病] 儿童感音性聋,2019-06-24,10:55,2019-06-24,11:35,理论
49,[感官系统疾病] Hearing Loss,2019-06-24,10:05,2019-06-24,10:45,理论
